raw_text,ward_id,submission_channel,city,has_image,image_description,normalized_text,issue_summary,inferred_language,primary_domain,sub_domain,issue_type,severity_level,public_safety_flag,vulnerable_population_flag,classification_reasoning,confidence,is_edge_case,is_noisy
Attached photo clearly shows the pipe leak and waterlogged road.,98,Citizen Kiosk,Chennai,True,Photo of water gushing out of a broken underground pipe on the road surface.,A burst or leaking water pipe in Korattur is causing waterlogging and significant water wastage.,"A water pipe has burst in Korattur, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",English,Core Infrastructure & Public Works,Water Supply,pipe_leak,6,False,False,"Burst pipe causes water wastage, road damage and waterlogging.",0.85,False,False
"Underground sewer pipe collapsed under Sowcarpet road, road is sinking.",57,Mobile App,Chennai,False,,A sewer pipe has collapsed beneath the road in Sowcarpet causing a sinkhole and road subsidence.,Road subsidence in Sowcarpet is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,English,Core Infrastructure & Public Works,Drainage/Sewerage,sewer_collapse,9,True,False,Sewer collapse causing road sinkhole is an immediate structural and safety emergency.,0.86,False,False
"Government school surrounded by garbage, parents very worried.",76,Mobile App,Chennai,False,,Garbage has accumulated outside the government school in Ayanavaram South posing a health risk to children.,An uncleared garbage pile near the government school in Ayanavaram South is exposing children to health hazards.,English,"Sanitation, Environment & Parks",Garbage,no_collection,6,False,True,Garbage accumulation near a school endangers children.,0.97,False,False
People in our area fell sick after drinking the tap water.,35,Citizen Kiosk,Chennai,False,,Contaminated and discoloured water is being supplied through municipal pipes in Erukkencherry causing illness.,Residents of Erukkencherry are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,English,Core Infrastructure & Public Works,Water Supply,contaminated_water,8,True,False,Contaminated water supply causing illness is a direct public health emergency.,0.93,False,False
सिंकहोल की फोटो भेज रहा हूं।,181,Mobile App,Chennai,True,Image of a sinkhole forming on a road with exposed sewer pipe visible below.,A sewer pipe has collapsed beneath the road in Puzhuthivakkam causing a sinkhole and road subsidence.,Road subsidence in Puzhuthivakkam is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,Hindi,Core Infrastructure & Public Works,Drainage/Sewerage,sewer_collapse,9,True,False,Sewer collapse causing road sinkhole is an immediate structural and safety emergency.,0.88,False,False
Photo attached of burst pipe flooding the road near Alapakkam.,145,Web App,Chennai,True,Image of a burst water pipe with water spraying sideways and flooding the road.,A burst or leaking water pipe in Alapakkam is causing waterlogging and significant water wastage.,"A water pipe has burst in Alapakkam, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",English,Core Infrastructure & Public Works,Water Supply,pipe_leak,6,False,False,"Burst pipe causes water wastage, road damage and waterlogging.",0.93,False,False
"ஐந்து மணி நேரம் காத்திருந்தோம், ஒரே ஒரு மருத்துவர்.",135,Mobile App,Chennai,False,,The government hospital in Boat Club is severely understaffed and running out of essential medicines.,The government hospital in Boat Club has been operating without adequate doctors and medicines. Patients are waiting for hours.,Tamil,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,8,False,True,Hospital running without doctors and medicines endangers patients.,0.87,False,False
Photo of warehouse operating inside residential colony near Kottivakkam.,170,Citizen Kiosk,Chennai,True,Photo of heavy industrial machinery operating in a residential area.,Land use violations are occurring near Kottivakkam with commercial or industrial use in residential zones.,"Unauthorized commercial activities are taking place in the residential zone near Kottivakkam, causing traffic, noise and pollution.",English,Urban Planning & Real Estate,Zoning,land_use_violation,5,False,False,Land use violation in residential zones creates nuisance and violates planning laws.,0.92,False,False
"Dear Sir, I write with great urgency regarding a live electrical wire that fell on Manali Industrial street following last night's heavy rain. I have attached a photo of the wire lying on the road. It has been sparking since 6am. A local resident received a mild electric shock. Despite calling the emergency helpline twice, no crew has arrived. Children from the nearby school pass through this street every morning. I beg for immediate emergency response.",21,Voice Hotline,Chennai,True,"Photo of a storm drain completely blocked with plastic waste, leaves and debris.",The storm drain in Manali Industrial is blocked causing the road to flood during every rainfall.,A clogged storm drain in Manali Industrial is causing the road to flood during every rain event. The drain has not been cleared in months.,English,Core Infrastructure & Public Works,Drainage/Sewerage,blockage,5,False,False,Drain blockage causing repeated flooding is a core infrastructure maintenance failure.,0.92,False,False
सड़क बहुत खराब है,134,Citizen Kiosk,Chennai,False,,A civic issue has been reported by a resident.,An abandoned building in Gopalapuram is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Hindi,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.8,False,True
I wish to file an urgent complaint regarding the water supply in Chindatripet. We have been without municipal water for four consecutive days. I am attaching a photo of our empty water storage tank. The entire street of roughly forty households has had no supply. We have been buying water from private tankers at our own expense. When we contacted the helpline we were told there was a main pipe break. That was three days ago. Several elderly and sick residents are in great distress.,108,Mobile App,Chennai,True,Photo of a faded and barely visible zebra crossing marking near a school gate.,The zebra crossing near Chindatripet school is missing or completely faded endangering children.,The pedestrian crossing near Chindatripet school is non-existent or invisible. School children are forced to cross a busy road without any marked safe zone.,English,Transportation & Traffic,Pedestrian Safety,missing_zebra_crossing,6,True,True,Missing pedestrian crossing near a school creates direct daily danger to children.,0.89,False,False
சாலை அடைப்பின் படம் இணைத்துள்ளேன்.,17,Citizen Kiosk,Chennai,True,Photo of road construction barricades blocking an entire lane with no diversion sign.,The road near Kadapakkam is blocked due to construction work with no alternate route provided.,Ongoing infrastructure work has blocked the main road in Kadapakkam for weeks without providing residents any diversion route.,Tamil,Transportation & Traffic,Roads,road_blockage,5,False,False,Road blockage without diversion disrupts traffic and daily life.,0.88,False,False
வீதி விளக்கு வேலை செய்யவில்லை,109,Web App,Chennai,False,,A street lighting issue has been reported.,Illegal open dumping near the park or lake in Komaleeswaranpet is increasing daily. The practice is creating environmental and health hazards.,Tamil,"Sanitation, Environment & Parks",Garbage,open_dumping,5,False,False,Illegal dumping near parks and water bodies violates environmental norms.,0.73,False,True
Attached photo of damaged anganwadi building.,152,Mobile App,Chennai,True,Image of an anganwadi building with a damaged roof and broken windows.,The anganwadi center in Poonamallee has been non-functional for weeks depriving children of meals.,The anganwadi center in Poonamallee has been closed for three weeks. Young children are being deprived of nutrition and early care services.,English,Social Infrastructure & Public Health,Healthcare,anganwadi_issue,7,False,True,Non-functional anganwadi denies nutrition to the most vulnerable children.,0.87,False,False
"படம் பாருங்கள், அனுமதியில்லாமல் கட்டிடம் கட்டுகிறார்கள்.",103,Web App,Chennai,True,Image of a building being constructed on what appears to be encroached land.,An unauthorized building is being constructed in Anna Nagar Tower without required municipal approvals.,Illegal construction has been flagged in Anna Nagar Tower where a building is being built without any approved plan.,Tamil,Urban Planning & Real Estate,Construction,illegal_building,5,False,False,Unauthorized construction violates zoning laws and building regulations.,0.87,False,False
very bad road condition please look into it,102,Web App,Chennai,False,,A road or pothole issue has been reported.,Flash flooding in Saligramam has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,English,"Emergency, Safety & Accountability",Emergency,flooding,9,True,False,Flooding submerging homes and electricity infrastructure is a life-threatening emergency.,0.76,False,True
"அரசு மருத்துவமனையில் மூன்று நாட்களாக தண்ணீர் இல்லை, நோயாளிகள் பாதிக்கப்படுகிறார்கள்.",183,Voice Hotline,Chennai,False,,"The government hospital in Karapakkam has no water supply for three days, affecting patient care.",An edge case where a water supply failure is directly impacting healthcare delivery at the government hospital in Karapakkam.,Tamil,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,9,True,True,Primary classification is healthcare failure despite water supply being the immediate cause.,0.84,True,False
அனுமதியில்லாத கட்டிடம் வடிகாலை தடுக்கிறது.,153,WhatsApp,Chennai,False,,Unauthorized construction near Nerkundram is blocking the storm drain causing waterlogging.,An edge case where illegal construction is simultaneously violating planning rules and blocking drainage infrastructure in Nerkundram.,Tamil,Urban Planning & Real Estate,Construction,illegal_building,6,False,False,Primary domain is urban planning violation despite secondary drainage impact.,0.77,True,False
நாய்கள் குப்பையை கிழித்து போடுகின்றன.,34,Voice Hotline,Chennai,False,,Garbage has not been collected from Tondiarpet for several days causing hygiene issues.,Municipal garbage collection has been absent in Tondiarpet for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,Tamil,"Sanitation, Environment & Parks",Garbage,no_collection,5,False,False,Sustained garbage non-collection is a sanitation failure causing health risks.,0.87,False,False
"सड़क पर कई गड्ढे हैं, वाहन खराब हो रहे हैं।",117,WhatsApp,Chennai,False,,Large potholes on the road in Saidapet are causing accidents and vehicle damage.,"Multiple deep potholes have been reported on the road in Saidapet, causing accidents and vehicle damage. Residents have been requesting repairs for over a month with no response.",Hindi,Core Infrastructure & Public Works,Roads,pothole,5,False,False,Pothole on public road causes recurring accidents and is a road maintenance failure.,0.91,False,False
குப்பை தொட்டி நிரம்பிய படம் பாருங்கள்,138,Web App,Chennai,False,,A garbage accumulation or sanitation issue has been reported.,"Street vendors have taken over the footpath near Meenambakkam, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Tamil,Urban Planning & Real Estate,Zoning,encroachment,4,False,False,Footpath encroachment pushes pedestrians onto roads creating a safety risk.,0.71,False,True
கட்டிடம் விழ இருக்கிறது ஆனால் அதிகாரி பணம் கேட்கிறார்.,110,Web App,Chennai,False,,A dangerous structure in Teynampet poses collapse risk and the responsible official is demanding a bribe before taking action.,An edge case combining structural hazard and corruption in Teynampet. The structural risk makes this an emergency but the bribery angle adds governance failure.,Tamil,"Emergency, Safety & Accountability",Safety,unsafe_structure,9,True,False,Primary classification is structural hazard despite bribery being a concurrent issue.,0.75,True,False
leakage in pipeline nobody comes to fix,40,Web App,Chennai,False,,A water supply or leakage issue has been reported.,The government hospital in Vyasarpadi has been operating without adequate doctors and medicines. Patients are waiting for hours.,English,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,8,False,True,Hospital running without doctors and medicines endangers patients.,0.72,False,True
நிரம்பிய பேருந்து நிறுத்தத்தின் படம் இணைத்துள்ளேன்.,118,Mobile App,Chennai,True,Image of an empty bus bay at a terminal with a cancelled route notice.,MTC bus service to Little Mount has been suspended or severely reduced without prior notice.,Public bus service to Little Mount has been stopped with no advance notice. Commuters are stranded.,Tamil,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.84,False,False
"Kids cannot go to school properly, no water to even wash face.",32,WhatsApp,Chennai,False,,Water supply has been completely cut off in Madhavaram North for more than two days.,Residents of Madhavaram North have had no municipal water supply for over three days. Families are resorting to buying tanker water and have raised multiple complaints without resolution.,English,Core Infrastructure & Public Works,Water Supply,no_water,7,False,False,Prolonged water supply failure is a critical infrastructure issue affecting basic daily needs.,0.93,False,False
படம் இணைத்துள்ளேன் சாலை உடைந்துள்ளது,180,Web App,Chennai,False,,A road or pothole issue has been reported.,"Garbage is being openly burned near Injambakkam, filling the area with smoke. Children with respiratory conditions are particularly affected.",Tamil,"Sanitation, Environment & Parks",Environment,air_pollution,6,False,False,Open burning causing respiratory distress is an environmental and public health violation.,0.71,False,True
drain blocked,111,WhatsApp,Chennai,False,,A drain or sewage overflow issue has been reported.,"Garbage is being openly burned near Royapettah, filling the area with smoke. Children with respiratory conditions are particularly affected.",English,"Sanitation, Environment & Parks",Environment,air_pollution,6,False,False,Open burning causing respiratory distress is an environmental and public health violation.,0.73,False,True
"I am a resident of Peravallur South and have been suffering from this problem for over two months now. The road in front of our colony is riddled with potholes, some deep enough to swallow a motorcycle tyre. We have witnessed at least five accidents in the past month alone. I have attached a photo clearly showing the depth of the potholes. Elderly residents and school children are especially vulnerable. I personally submitted a complaint via the mobile app twice and called the helpline once but no field visit happened. I am now escalating this formally and request senior officers to inspect the site.",77,Mobile App,Chennai,True,Photo of a dilapidated building with broken windows and falling plaster.,A structurally unsafe and crumbling building near Peravallur South is at immediate risk of collapse.,An abandoned building in Peravallur South is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,English,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.97,False,False
"Sholinganallur தெருவில் குடியிருக்கும் நாங்கள் கடந்த மூன்று வாரங்களாக கழிவுநீர் தெரு முழுவதும் வழிவதால் மிகவும் கஷ்டப்படுகிறோம். கழிவுநீர் கால்வாய் முற்றிலும் அடைந்துவிட்டது. படம் இணைத்துள்ளேன், நிலைமையின் தீவிரத்தை பாருங்கள். மாநகராட்சி அலுவலகம் இரண்டு முறை சென்று புகார் கொடுத்தோம். மூன்று வாரம் ஆகிவிட்டது இன்னும் யாரும் வரவில்லை.",191,Voice Hotline,Chennai,True,Image of an empty bus bay at a terminal with a cancelled route notice.,MTC bus service to Sholinganallur has been suspended or severely reduced without prior notice.,Public bus service to Sholinganallur has been stopped with no advance notice. Commuters are stranded.,Tamil,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.9,False,False
water supply stopped no reason given,19,Mobile App,Chennai,False,,A water supply or leakage issue has been reported.,Residents of Mathur have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.73,False,True
Bus route cancelled without informing passengers.,75,Voice Hotline,Chennai,False,,MTC bus service to Aminjikarai has been suspended or severely reduced without prior notice.,Public bus service to Aminjikarai has been stopped with no advance notice. Commuters are stranded.,English,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.96,False,False
Leaking pipe on Tondiarpet street wasting water for four days now.,34,Citizen Kiosk,Chennai,False,,A burst or leaking water pipe in Tondiarpet is causing waterlogging and significant water wastage.,"A water pipe has burst in Tondiarpet, causing road flooding and water wastage for several days. Despite complaints, no repair crew has visited.",English,Core Infrastructure & Public Works,Water Supply,pipe_leak,6,False,False,"Burst pipe causes water wastage, road damage and waterlogging.",0.84,False,False
Uncollected garbage near Ramapuram school is blocking the drain and sewage is overflowing.,91,WhatsApp,Chennai,False,,Garbage near the school in Ramapuram is blocking the drain and causing sewage overflow.,An edge case complaint in Ramapuram involving garbage accumulation near a school that is simultaneously blocking the storm drain and causing sewage overflow. Both sanitation and infrastructure issues are present.,English,"Sanitation, Environment & Parks",Garbage,no_collection,6,False,True,Primary classification is garbage non-collection despite drainage secondary effect.,0.84,True,False
Kovur பகுதியில் வசிக்கும் நான் கடந்த இரண்டு மாதங்களாக சாலை குழிகளால் கஷ்டப்படுகிறேன். குழிகளின் ஆழத்தை காட்டும் படம் இணைத்துள்ளேன். முதியவர்களும் பள்ளி மாணவர்களும் கஷ்டப்படுகிறார்கள். மூன்று முறை புகார் கொடுத்தோம் யாரும் வரவில்லை.,146,Voice Hotline,Chennai,True,Photo of a residential street with knee-deep flood water after heavy rain.,Severe flooding in Kovur has submerged roads and homes leaving residents stranded.,Flash flooding in Kovur has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,Tamil,"Emergency, Safety & Accountability",Emergency,flooding,9,True,False,Flooding submerging homes and electricity infrastructure is a life-threatening emergency.,0.91,False,False
"Complaint raised two months ago in Injambakkam, zero action taken.",180,Web App,Chennai,False,,Multiple complaints raised by residents of Injambakkam have received no response from municipal authorities.,Residents of Injambakkam have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.85,False,False
Photo attached showing sewage overflow on the road near Kottivakkam South.,190,WhatsApp,Chennai,True,Photo showing sewage overflow creating a small stream across a residential road.,Sewage is overflowing from blocked drains onto the roads and into homes in Kottivakkam South.,A severe sewage overflow has been reported in Kottivakkam South due to blocked drains. Sewage water is entering ground floor homes and children are falling ill.,English,Core Infrastructure & Public Works,Drainage/Sewerage,overflow,7,True,False,Sewage overflow entering homes is a health emergency.,0.96,False,False
"அரசு பள்ளி கூரை கசிகிறது, வகுப்புகள் பாதிக்கப்படுகின்றன.",97,Voice Hotline,Chennai,False,,The government school building in Arumbakkam is in a deteriorated state with leaking roof and broken toilets.,Infrastructure at the government school in Arumbakkam is in severe disrepair. The conditions are unhygienic and unsafe for children.,Tamil,Social Infrastructure & Public Health,Schools,school_maintenance,6,False,True,Deteriorated school infrastructure directly affects children's safety.,0.91,False,False
no street light help,20,Web App,Chennai,False,,A street lighting issue has been reported.,Residents of Kavankarai are receiving discoloured and foul-smelling water through municipal pipes. Multiple cases of illness have been reported.,English,Core Infrastructure & Public Works,Water Supply,contaminated_water,8,True,False,Contaminated water supply causing illness is a direct public health emergency.,0.73,False,True
"The water supply near Peravallur hospital has been cut for three days, affecting patients and staff.",66,Citizen Kiosk,Chennai,False,,"The government hospital in Peravallur has no water supply for three days, affecting patient care.",An edge case where a water supply failure is directly impacting healthcare delivery at the government hospital in Peravallur.,English,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,9,True,True,Primary classification is healthcare failure despite water supply being the immediate cause.,0.79,True,False
Traffic signal off at the busiest crossing in Tondiarpet East.,43,Citizen Kiosk,Chennai,False,,The traffic signal at Tondiarpet East junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Tondiarpet East has been non-functional for two days. Near-miss accidents are being reported during peak hours.,English,Transportation & Traffic,Traffic Signals,signal_malfunction,7,True,False,Malfunctioning traffic signal at a busy intersection directly causes accidents.,0.94,False,False
"பள்ளி அருகில் சாலை குழிகளும் கால்நடை வழி கோடும் இல்லை, குழந்தைகள் அபாயத்தில்.",141,Voice Hotline,Chennai,False,,Broken road and missing zebra crossing near Jaladampet school is endangering children daily.,An edge case combining road maintenance failure and missing pedestrian crossing near a school in Jaladampet. Children face double danger from both issues.,Tamil,Transportation & Traffic,Pedestrian Safety,missing_zebra_crossing,7,True,True,Primary classification is pedestrian safety despite road pothole being a concurrent issue.,0.77,True,False
मैं Ayanavaram South का निवासी हूं और दो महीने से सड़क के गड्ढों से परेशान हूं। गड्ढों की गहराई दिखाने वाली फोटो भेज रहा हूं। तीन बार शिकायत की लेकिन कोई नहीं आया।,76,WhatsApp,Chennai,True,Photo of an overflowing public garbage bin with waste spilling onto the footpath.,Garbage has not been collected from Ayanavaram South for several days causing hygiene issues.,Municipal garbage collection has been absent in Ayanavaram South for multiple days. Overflowing waste bins and stray animals are creating serious hygiene problems.,Hindi,"Sanitation, Environment & Parks",Garbage,no_collection,5,False,False,Sustained garbage non-collection is a sanitation failure causing health risks.,0.91,False,False
Revenue officer demanding bribe for land document processing.,114,Web App,Chennai,False,,A municipal official in Mylapore is demanding bribes for routine civic approvals and services.,Residents in Mylapore have reported a municipal official demanding bribes for basic civic approvals. The official is refusing to process requests without cash payment.,English,"Emergency, Safety & Accountability",Corruption,bribery,7,False,False,Bribery demand from a municipal official is a governance and accountability failure.,0.85,False,False
"பேருந்து வழி நிறுத்தப்பட்டுவிட்டது, முன்னறிவிப்பு இல்லை.",183,Voice Hotline,Chennai,False,,MTC bus service to Karapakkam has been suspended or severely reduced without prior notice.,Public bus service to Karapakkam has been stopped with no advance notice. Commuters are stranded.,Tamil,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.91,False,False
Sparking wire near Medavakkam could start a fire any moment.,165,Web App,Chennai,False,,A live electrical wire is dangling on the road in Medavakkam causing sparks and electrocution risk.,A fallen live electrical wire in Medavakkam is sparking on the road near a bus stop. A resident has already received a mild electric shock.,English,"Emergency, Safety & Accountability",Emergency,fire_risk,10,True,False,Live electrical wire on a public road is an immediate life-threatening emergency.,0.92,False,False
garbage not cleared near school children getting sick,48,Citizen Kiosk,Chennai,False,,A garbage accumulation or sanitation issue has been reported.,A severe sewage overflow has been reported in Sembiam due to blocked drains. Sewage water is entering ground floor homes and children are falling ill.,English,Core Infrastructure & Public Works,Drainage/Sewerage,overflow,7,True,False,Sewage overflow entering homes is a health emergency.,0.77,False,True
फुटपाथ एन्क्रोचमेंट की फोटो भेज रहा हूं।,139,WhatsApp,Chennai,True,Photo of a shop extending its display racks completely onto the public footpath.,Footpath near Pallikaranai has been fully encroached by vendors forcing pedestrians onto the road.,"Street vendors have taken over the footpath near Pallikaranai, leaving no space for pedestrians. Elderly residents are being forced to walk on the road.",Hindi,Urban Planning & Real Estate,Zoning,encroachment,4,False,False,Footpath encroachment pushes pedestrians onto roads creating a safety risk.,0.89,False,False
water bad color coming from tap what to do,136,Mobile App,Chennai,False,,A water supply or leakage issue has been reported.,Public bus service to Adambakkam has been stopped with no advance notice. Commuters are stranded.,English,Transportation & Traffic,Public Transport,transport_disruption,4,False,False,Bus service suspension without notice is a public transport failure.,0.74,False,True
Illegal dump site near Ambattur Industrial Estate is growing every day.,80,Web App,Chennai,False,,Waste is being illegally dumped openly near the park or water body in Ambattur Industrial Estate causing pollution.,Illegal open dumping near the park or lake in Ambattur Industrial Estate is increasing daily. The practice is creating environmental and health hazards.,English,"Sanitation, Environment & Parks",Garbage,open_dumping,5,False,False,Illegal dumping near parks and water bodies violates environmental norms.,0.85,False,False
தொழிற்சாலை வசிப்பிட காலனியில் இயங்குகிறது.,134,Voice Hotline,Chennai,False,,Land use violations are occurring near Gopalapuram with commercial or industrial use in residential zones.,"Unauthorized commercial activities are taking place in the residential zone near Gopalapuram, causing traffic, noise and pollution.",Tamil,Urban Planning & Real Estate,Zoning,land_use_violation,5,False,False,Land use violation in residential zones creates nuisance and violates planning laws.,0.96,False,False
"Factory noise all night long, we cannot sleep in Ernavoor.",5,Web App,Chennai,False,,Excessive noise from functions and construction near Ernavoor is disturbing residents at night.,Residents of Ernavoor are being subjected to nighttime noise from function halls and construction. Quality of life is being affected.,English,"Sanitation, Environment & Parks",Environment,noise_pollution,3,False,False,Nighttime noise beyond permissible limits constitutes an environmental nuisance.,0.89,False,False
பள்ளி அருகில் குப்பை கால்வாயை அடைத்து வெள்ளம் ஏற்படுகிறது.,162,Web App,Chennai,False,,Garbage near the school in Ullagaram is blocking the drain and causing sewage overflow.,An edge case complaint in Ullagaram involving garbage accumulation near a school that is simultaneously blocking the storm drain and causing sewage overflow. Both sanitation and infrastructure issues are present.,Tamil,"Sanitation, Environment & Parks",Garbage,no_collection,6,False,True,Primary classification is garbage non-collection despite drainage secondary effect.,0.75,True,False
बिल्डिंग प्लान पास करने के लिए इंस्पेक्टर ने पैसे मांगे।,68,Mobile App,Chennai,False,,A municipal official in Sembiam is demanding bribes for routine civic approvals and services.,Residents in Sembiam have reported a municipal official demanding bribes for basic civic approvals. The official is refusing to process requests without cash payment.,Hindi,"Emergency, Safety & Accountability",Corruption,bribery,7,False,False,Bribery demand from a municipal official is a governance and accountability failure.,0.88,False,False
"Complaint raised two months ago in Komaleeswaranpet, zero action taken.",109,Citizen Kiosk,Chennai,False,,Multiple complaints raised by residents of Komaleeswaranpet have received no response from municipal authorities.,Residents of Komaleeswaranpet have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.87,False,False
"Corporation staff come, take photos, and never return.",104,WhatsApp,Chennai,True,Image of a repeated complaint form submitted multiple times for the same issue.,Multiple complaints raised by residents of Kilpauk have received no response from municipal authorities.,Residents of Kilpauk have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,English,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.85,False,False
"Sembakkam தெருவில் குடியிருக்கும் நாங்கள் கடந்த மூன்று வாரங்களாக கழிவுநீர் தெரு முழுவதும் வழிவதால் மிகவும் கஷ்டப்படுகிறோம். கழிவுநீர் கால்வாய் முற்றிலும் அடைந்துவிட்டது. படம் இணைத்துள்ளேன், நிலைமையின் தீவிரத்தை பாருங்கள். மாநகராட்சி அலுவலகம் இரண்டு முறை சென்று புகார் கொடுத்தோம். மூன்று வாரம் ஆகிவிட்டது இன்னும் யாரும் வரவில்லை.",167,Voice Hotline,Chennai,True,Image of a repeated complaint form submitted multiple times for the same issue.,Multiple complaints raised by residents of Sembakkam have received no response from municipal authorities.,Residents of Sembakkam have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,Tamil,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.96,False,False
Anganwadi worker taking attendance but not showing up.,43,Web App,Chennai,False,,The anganwadi center in Tondiarpet East has been non-functional for weeks depriving children of meals.,The anganwadi center in Tondiarpet East has been closed for three weeks. Young children are being deprived of nutrition and early care services.,English,Social Infrastructure & Public Health,Healthcare,anganwadi_issue,7,False,True,Non-functional anganwadi denies nutrition to the most vulnerable children.,0.98,False,False
See image — signal completely non-functional during peak hours.,150,Web App,Chennai,True,Photo of a busy junction with no functioning traffic signal and vehicles in chaos.,The traffic signal at Kundrathur junction is malfunctioning causing accidents and chaos.,The traffic signal at the main junction in Kundrathur has been non-functional for two days. Near-miss accidents are being reported during peak hours.,English,Transportation & Traffic,Traffic Signals,signal_malfunction,7,True,False,Malfunctioning traffic signal at a busy intersection directly causes accidents.,0.86,False,False
Photo of clogged drain attached — completely blocked with waste.,186,Web App,Chennai,True,"Photo of a storm drain completely blocked with plastic waste, leaves and debris.",The storm drain in Taramani is blocked causing the road to flood during every rainfall.,A clogged storm drain in Taramani is causing the road to flood during every rain event. The drain has not been cleared in months.,English,Core Infrastructure & Public Works,Drainage/Sewerage,blockage,5,False,False,Drain blockage causing repeated flooding is a core infrastructure maintenance failure.,0.88,False,False
"Construction happening on encroached land near Anna Nagar Tower, no permit.",103,WhatsApp,Chennai,False,,An unauthorized building is being constructed in Anna Nagar Tower without required municipal approvals.,Illegal construction has been flagged in Anna Nagar Tower where a building is being built without any approved plan.,English,Urban Planning & Real Estate,Construction,illegal_building,5,False,False,Unauthorized construction violates zoning laws and building regulations.,0.93,False,False
Vepery में हम सभी निवासियों की ओर से यह शिकायत है। पिछले तीन हफ्तों से हमारी गली की नाली पूरी तरह बंद है। मैं फोटो भेज रहा हूं जो स्थिति की गंभीरता दिखाता है। हम वार्ड ऑफिस दो बार गए और हर बार 48 घंटे में ठीक करने का आश्वासन मिला। तीन हफ्ते बाद भी कुछ नहीं हुआ।,62,Voice Hotline,Chennai,True,Photo of road construction barricades blocking an entire lane with no diversion sign.,The road near Vepery is blocked due to construction work with no alternate route provided.,Ongoing infrastructure work has blocked the main road in Vepery for weeks without providing residents any diversion route.,Hindi,Transportation & Traffic,Roads,road_blockage,5,False,False,Road blockage without diversion disrupts traffic and daily life.,0.89,False,False
फीकी क्रॉसिंग की फोटो भेज रहा हूं।,61,Voice Hotline,Chennai,True,Photo of a faded and barely visible zebra crossing marking near a school gate.,The zebra crossing near Purasaivakkam school is missing or completely faded endangering children.,The pedestrian crossing near Purasaivakkam school is non-existent or invisible. School children are forced to cross a busy road without any marked safe zone.,Hindi,Transportation & Traffic,Pedestrian Safety,missing_zebra_crossing,6,True,True,Missing pedestrian crossing near a school creates direct daily danger to children.,0.85,False,False
वार्ड ऑफिस हमारी किसी भी शिकायत का जवाब नहीं देता।,133,Web App,Chennai,False,,Multiple complaints raised by residents of Nungambakkam have received no response from municipal authorities.,Residents of Nungambakkam have been raising the same complaint for two months with no action. Ward office staff visit but never resolve the issue.,Hindi,"Emergency, Safety & Accountability",Corruption,negligence,5,False,False,Systematic non-response to civic complaints is a governance accountability failure.,0.88,False,False
